,AnoLetivo,ID_Aluno,Genero,Tipo_Serie,Grup_Economic,Frequencia_aluno_Aula(%),Media_geral_notas_aluno,status_aluno,StudentAcademic_Performance_Status
0,2019,5458,M,Grup B - anos finais,E,60,3,2,Reforço
1,2019,5231,F,Grup A - anos iniciais,E,93,8,0,Aprovado
2,2019,4571,M,Grup B - anos finais,C,80,6,0,Aprovado
3,2019,2130,M,Grup B - anos finais,D,55,2,2,Reforço
4,2019,4871,M,Grup A - anos iniciais,E,82,9,0,Aprovado
5,2019,4880,M,Grup B - anos finais,D,87,7,0,Aprovado
6,2019,3865,M,Grup A - anos iniciais,B,78,7,0,Aprovado
7,2019,3153,M,Grup A - anos iniciais,B,76,9,0,Aprovado
8,2019,2534,F,Grup B - anos finais,B,89,7,0,Aprovado
9,2019,2714,F,Grup A - anos iniciais,B,94,7,0,Aprovado
10,2019,4628,F,Grup B - anos finais,E,53,1,2,Reforço
11,2019,5430,M,Grup A - anos iniciais,A,92,6,0,Aprovado
12,2019,3926,M,Grup B - anos finais,A,78,9,0,Aprovado
13,2019,5291,F,Grup A - anos iniciais,C,76,6,0,Aprovado
14,2019,3848,F,Grup B - anos finais,E,91,8,0,Aprovado
15,2019,4776,F,Grup B - anos finais,B,40,1,2,Reforço
16,2019,4188,M,Grup B - anos finais,A,95,10,0,Aprovado
17,2019,3717,F,Grup B - anos finais,B,89,10,0,Aprovado
18,2019,4326,F,Grup B - anos finais,D,98,9,0,Aprovado
19,2019,3309,F,Grup B - anos finais,B,88,8,0,Aprovado
20,2019,5273,F,Grup A - anos iniciais,A,95,8,0,Aprovado
21,2019,3643,F,Grup A - anos iniciais,B,95,10,0,Aprovado
22,2019,3810,M,Grup A - anos iniciais,E,97,9,0,Aprovado
23,2019,3171,F,Grup B - anos finais,D,54,4,2,Reforço
24,2019,3024,F,Grup B - anos finais,E,78,9,0,Aprovado
25,2019,4532,F,Grup B - anos finais,A,80,3,2,Reforço
26,2019,2906,M,Grup B - anos finais,C,87,6,0,Aprovado
27,2019,3681,M,Grup A - anos iniciais,E,78,2,2,Reforço
28,2019,4534,M,Grup B - anos finais,B,73,4,2,Reforço
29,2019,5284,M,Grup A - anos iniciais,B,89,7,0,Aprovado
30,2019,3391,F,Grup B - anos finais,A,79,8,0,Aprovado
31,2019,2184,M,Grup B - anos finais,D,85,7,0,Aprovado
32,2019,3654,M,Grup B - anos finais,B,92,8,0,Aprovado
33,2019,2353,F,Grup A - anos iniciais,B,45,4,2,Reforço
34,2019,3781,M,Grup A - anos iniciais,A,91,9,0,Aprovado
35,2019,3131,M,Grup B - anos finais,D,20,0,2,Reforço
36,2019,4939,F,Grup B - anos finais,E,78,6,0,Aprovado
37,2019,5401,M,Grup B - anos finais,C,95,6,0,Aprovado
38,2019,4244,F,Grup B - anos finais,D,89,7,0,Aprovado
39,2019,3986,M,Grup A - anos iniciais,A,93,8,0,Aprovado
40,2019,4728,M,Grup A - anos iniciais,D,81,10,0,Aprovado
41,2019,4139,F,Grup B - anos finais,E,92,10,0,Aprovado
42,2019,2944,M,Grup A - anos iniciais,A,83,7,0,Aprovado
43,2019,4108,F,Grup A - anos iniciais,E,45,2,2,Reforço
44,2019,4865,M,Grup A - anos iniciais,D,75,7,0,Aprovado
45,2019,2347,M,Grup A - anos iniciais,C,83,8,0,Aprovado
46,2019,4108,F,Grup A - anos iniciais,B,55,6,0,Aprovado
47,2019,4906,F,Grup B - anos finais,E,69,2,2,Reforço
48,2019,5248,F,Grup A - anos iniciais,A,60,4,2,Reforço
49,2019,3429,M,Grup A - anos iniciais,A,78,4,2,Reforço
